NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
DANVERS COUNCIL ON AGING SENIOR CENTER,25 STONE ST,DANVERS,MA,01923,1856,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HUNT NURSING RETIRMENT HOME,90 LINDALL ST,DANVERS,MA,01923,2125,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,110,PREMIER,,
DANVERS TWIN OAKS,63 LOCUST ST,DANVERS,MA,01923,2240,25009,ESSEX,1122,ASSISTED LIVING,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,92,,,
DANVERS PUBLIC SCHOOLS,64 CABOT RD,DANVERS,MA,01923,2355,25009,ESSEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
RADIUS HEALTHCARE CENTER AT DANVERS,56 LIBERTY ST,DANVERS,MA,01923,3361,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,142,,,
CATHOLIC CHARITIES-SUBSTANCE ABUSE SVCS,140 COMMONWEALTH AVE,DANVERS,MA,01923,3625,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CAB HEALTH-RECOVERY SERVICE-ADLSCNT AODA,111 MIDDLETON RD,DANVERS,MA,01923,4000,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
DAY BY DAY ADULT DAY CARE,4R BLACKBURN CTR,GLOUCESTER,MA,01930,2268,25009,ESSEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,
PATHWAY FOR CHILDREN-YOUNG FAMILY,29 EMERSON AVE,GLOUCESTER,MA,01930,2556,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
GLOUCESTER PUBLIC SCHOOL DISTRICT,6 SCHOOL HOUSE RD,GLOUCESTER,MA,01930,2702,25009,ESSEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
GOLDEN LIVING CENTER-GLOUCESTER,272 WASHINGTON ST,GLOUCESTER,MA,01930,4818,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,86,PREMIER,,
SEACOAST NURSING CENTER REHAB,292 WASHINGTON ST,GLOUCESTER,MA,01930,4832,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,133,,,
ADDISON GILBERT HOSPITAL,298 WASHINGTON ST,GLOUCESTER,MA,01930,4832,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
MOORES WAY-SUBSTANCE ABUSE SERVICES,23 DUNCAN ST,GLOUCESTER,MA,01930,6001,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ESSEX AGRICULTURE AND TECH HIGH SCHOOL,PO BOX 362,HATHORNE,MA,01937,0362,25009,ESSEX,,SECONDARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,
ESSEX AGRCLTL-TECHNICAL HIGH SCHL DIST,PO BOX 362,HATHORNE,MA,01937,0362,25009,ESSEX,,SCHOOL DISTRICTS,UNCODED,251 TO 500,NOT APPLICABLE,1,UNCODED,PUBLIC,251 TO 500,,,,
HOGAN REGIONAL CENTER-RESIDENTIAL TRTMNT,PO BOX A,HATHORNE,MA,01937,0380,25009,ESSEX,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,COMPASS,UNCODED,51 TO 100,,,,
IPSWICH PUBLIC SCHOOL DISTRICT,1 LORD SQ,IPSWICH,MA,01938,1909,25009,ESSEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
CALDWELL SKILLED NURSING AND REHAB CTR,16 GREEN ST,IPSWICH,MA,01938,2228,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,50,,,
LYNNFIELD COUNCIL ON AGING SENIOR CENTER,525 SALEM ST,LYNNFIELD,MA,01940,2359,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MANCHESTER ESSEX REGIONAL SCHOOL DIST,PO BOX 1407,MANCHESTER,MA,01944,0851,25009,ESSEX,1122,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,
MANCHESTER ESSEX REG MIDDLE / HIGH SCH,36 LINCOLN ST,MANCHESTER,MA,01944,1123,25009,ESSEX,1122,SECONDARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,
MARBLEHEAD CHILDRENS CENTER,21 TIOGA WAY,MARBLEHEAD,MA,01945,1577,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
MARBLEHEAD COUNSELING CENTER-SBSTNC ABS,66 CLIFTON AVE,MARBLEHEAD,MA,01945,1737,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
MARBLEHEAD COA SENIOR CENTER,10 HUMPHREY ST,MARBLEHEAD,MA,01945,1906,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
DEVEREUX HOUSE NURSING HOME,39 LAFAYETTE ST,MARBLEHEAD,MA,01945,1939,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,61,,,
LAFAYETTE CONVALESCENT HOME,25 LAFAYETTE ST,MARBLEHEAD,MA,01945,1939,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,63,,,
JEWISH COMMUNITY CTR-NORTH SHORE CC,4 COMMUNITY RD,MARBLEHEAD,MA,01945,2766,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
ESSEX COUNTY JAIL-SHERIFFS OFFICE,PO BOX 807,MIDDLETON,MA,01949,2807,25009,ESSEX,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
TURNING POINT SUBSTANCE ABUSE SERVICES,PO BOX 548,NEWBURYPORT,MA,01950,0648,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
LINK HOUSE SUBSTANCE ABUSE SERVICES,37 WASHINGTON ST,NEWBURYPORT,MA,01950,2413,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
NEWBURYPORT MONTESSORI SCHOOL INC,20 PLEASANT ST,NEWBURYPORT,MA,01950,2610,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
BRIGHAM MANOR NURSING AND REHAB CENTER,77 HIGH ST,NEWBURYPORT,MA,01950,3071,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,64,,,
PORT HEALTHCARE CENTER,113 LOW ST,NEWBURYPORT,MA,01950,3540,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,94,,,
ANNA JAQUES HOSPITAL SUBACUTE UNIT,25 HIGHLAND AVE,NEWBURYPORT,MA,01950,3867,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,25,PREMIER,,
MULBERRY CHILD CARE AND PRESCHOOL,1 DANIEL LUCY WAY,NEWBURYPORT,MA,01950,6220,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
HARBOR SCHOOLS-RESIDENTIAL CENTER,26 ROLFES LN,NEWBURY,MA,01951,1221,25009,ESSEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
WILLIAM HILTON SENIOR CENTER,43 LAFAYETTE RD,SALISBURY,MA,01952,1910,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PEABODY KINDERCARE LEARNING CENTER,520 LOWELL ST,PEABODY,MA,01960,1388,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
RENAISSANCE GARDENS AT BROOKSBY VILLAGE,400 BROOKSBY VILLAGE DR,PEABODY,MA,01960,1430,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,98,,,
PEABODY GLEN HEALTH CARE CENTER,199 ANDOVER ST,PEABODY,MA,01960,1630,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,130,PREMIER,,
ROSEWOOD NURSING-REHABILITATION CENTER,22 JOHNSON ST,PEABODY,MA,01960,2311,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,128,,,
CATHOLIC CHARITIES-PEABODY CHILDCARE,13 PULASKI ST,PEABODY,MA,01960,3205,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
PILGRIM REHAB-SKILLED NURSING FACILITY,96 FOREST ST,PEABODY,MA,01960,3907,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,128,PREMIER,,
PETER A TORIGIAN COMM LIFE-SENIOR CTR,79 CENTRAL ST,PEABODY,MA,01960,4353,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
KINDRED HOSPITAL-BOSTON NORTH SHORE,15 KING ST,PEABODY,MA,01960,4379,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,,,,
INN TRANSITION-SUBSTANCE ABUSE TREATMENT,42 WASHINGTON ST,PEABODY,MA,01960,5536,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
RAINBOW NURSING CENTER,210 LOWELL ST,PEABODY,MA,01960,4201,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,25,,,
PEABODY PUBLIC SCHOOL DISTRICT,21 JOHNSON ST,PEABODY,MA,01960,2310,25009,ESSEX,1122,SCHOOL DISTRICTS,UNCODED,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,
LANDMARK SCHOOL RESIDENTIAL TREATMENT,PO BOX 227,PRIDES CROSSING,MA,01965,0227,25009,ESSEX,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
DEN-MAR REHAB AND NURSING CENTER,44 SOUTH ST,ROCKPORT,MA,01966,1800,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,70,,,
SEA VIEW RETREAT,PO BOX 277,ROWLEY,MA,01969,0577,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,52,,,
HEALTH ED SVC-SOLSTICE ADOLESCENT PROG,PO BOX 522,ROWLEY,MA,01969,0922,25009,ESSEX,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
ROWLEY COUNCIL AGING SENIOR CENTER,PO BOX 523,ROWLEY,MA,01969,0923,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SALEM PUBLIC SCHOOL DISTRICT,29 HIGHLAND AVE,SALEM,MA,01970,2116,25009,ESSEX,1122,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
NORTH SHORE CHILDRENS HOSPITAL,57 HIGHLAND AVE,SALEM,MA,01970,2141,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
NORTH SHORE MEDICAL CENTER SALEM CAMPUS,81 HIGHLAND AVE,SALEM,MA,01970,2714,25009,ESSEX,1122,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,COMPASS,UNCODED,>2000,,,,
SHAUGHNESSY-KAPLAN REHAB HOSPITAL SNF,1 DOVE AVE,SALEM,MA,01970,2944,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,ARAMARK,PUBLIC,501 TO 1000,33,,,
SALEM COUNCIL ON AGING SENIOR CENTER,5 BROAD ST,SALEM,MA,01970,3103,25009,ESSEX,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
HEALTH-EDUCATION SERVICES-OTPTNT AODA,162 FEDERAL ST,SALEM,MA,01970,3248,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SALEM YMCA EARLY LEARNING AND AFTER SCHL,1 SEWALL ST,SALEM,MA,01970,3405,25009,ESSEX,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
GROSVENOR PARK NURSING CENTER,7 LORING HILLS AVE,SALEM,MA,01970,4267,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,121,PREMIER,,
NSMC OUTPATIENT MENTAL HEALTH SVCS-AODA,172 LAFAYETTE ST,SALEM,MA,01970,4815,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SALEM STATE COLLEGE,352 LAFAYETTE ST,SALEM,MA,01970,5348,25009,ESSEX,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,COMPASS,PUBLIC,>2000,,,,
CASP-SUBSTANCE ABUSE TREATMENT PROGRAMS,27 CONGRESS ST,SALEM,MA,01970,5577,25009,ESSEX,1122,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
PINGREE EXPERIENCE CAMP,537 HIGHLAND ST,SOUTH HAMILTON,MA,01982,1316,25009,ESSEX,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
PINGREE SCHOOL,537 HIGHLAND ST,SOUTH HAMILTON,MA,01982,1316,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,
GORDON-CONWELL THEOLOGICAL SEMINARY,130 ESSEX ST,SOUTH HAMILTON,MA,01982,2325,25009,ESSEX,1122,TECHNICAL AND TRADE SCHOOLS,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,UNCODED,1001 TO 2000,,,,
MASCONOMET HEALTHCARE CENTER,123 HIGH ST,TOPSFIELD,MA,01983,1921,25009,ESSEX,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,119,,,
MASCONOMET REGIONAL MIDDLE SCHOOL,20 ENDICOTT RD,TOPSFIELD,MA,01983,2013,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,,,,
HAMILTON-WENHAM REGIONAL SCHOOL DISTRICT,5 SCHOOL ST,WENHAM,MA,01984,1427,25009,ESSEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
GORDON COLLEGE,255 GRAPEVINE RD,WENHAM,MA,01984,1813,25009,ESSEX,1122,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PRIVATE,1001 TO 2000,,,,
PENTUCKET MIDDLE SCHOOL,20 MAIN ST,WEST NEWBURY,MA,01985,1829,25009,ESSEX,1122,PRIMARY SCHOOL,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,
PENTUCKET REGIONAL SCHOOL DISTRICT,22 MAIN ST,WEST NEWBURY,MA,01985,1829,25009,ESSEX,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
WEE FOLK LEARNING CENTER,1178 S MAIN ST,BELLINGHAM,MA,02019,1515,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
BELLINGHAM SENIOR CENTER,40 BLACKSTONE ST,BELLINGHAM,MA,02019,1602,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BELLINGHAM PUBLIC SCHOOL,60 HARPIN ST,BELLINGHAM,MA,02019,2011,25021,NORFOLK,1122,PRIMARY SCHOOL,UNCODED,2001 TO 5000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,
CANTON SENIOR CENTER,PO BOX 54,CANTON,MA,02021,0054,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
COLE HARRINGTON SCHOOL AGE ENRICHMENT,55 PECUNIT ST,CANTON,MA,02021,1246,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,
BLUE HILLS REGIONAL VOCATIONAL SCH DIST,800 RANDOLPH ST,CANTON,MA,02021,1358,25021,NORFOLK,1122,SCHOOL DISTRICTS,UNCODED,501 TO 1000,NOT APPLICABLE,1,UNCODED,PUBLIC,501 TO 1000,,,,
HELLENIC NURSING REHAB CENTER,601 SHERMAN ST,CANTON,MA,02021,2025,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,151,PREMIER,,
MASSACHUSETTS HOSPITAL SCHOOL,3 RANDOLPH ST,CANTON,MA,02021,2351,25021,NORFOLK,1122,HOSPITALS,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,,,,
TOWER HILL CENTER FOR HEALTH AND REHAB,1 MEADOWBROOK WAY,CANTON,MA,02021,2496,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,144,,,
CANTON PUBLIC SCHOOLS,960 WASHINGTON ST,CANTON,MA,02021,2574,25021,NORFOLK,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
MULBERRY CHILD CARE CENTERS INC,440 TURNPIKE ST,CANTON,MA,02021,2704,25021,NORFOLK,1122,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,
ORCHARD COVE,1 DEL POND DR,CANTON,MA,02021,2759,25021,NORFOLK,1122,SENIOR LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,45.0,PREMIER,,
COHASSET KNOLL SKILLED NURSING REHAB FAC,1 CHIEF JUSTICE CUSHING HWY,COHASSET,MA,02025,1201,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,60,,,
NOBLES DAY CAMP,10 CAMPUS DR,DEDHAM,MA,02026,4041,25021,NORFOLK,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,COMPASS,UNCODED,>2000,,,,
NORFOLK COUNTY COR CTR-SHERIFF DEPT,200 WEST ST,DEDHAM,MA,02026,5528,25021,NORFOLK,1122,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,51 TO 100,,PREMIER,,
HIGHGATE MANOR,10 CAREMATRIX DR,DEDHAM,MA,02026,6149,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125,,,
GOLDEN LIVING CENTER,1007 EAST ST,DEDHAM,MA,02026,6363,25021,NORFOLK,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,115,PREMIER,,
DOVER COUNCIL ON AGING-SENIOR CENTER,PO BOX 250,DOVER,MA,02030,0250,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
SUPERVISORY UNION 50,9 JUNCTION ST,DOVER,MA,02030,1706,25021,NORFOLK,1122,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
LEAGUE SCHOOL-GRTR BOSTON RSDNTL TRTMNT,300 PROVIDENCE HWY,EAST WALPOLE,MA,02032,1521,25021,NORFOLK,1122,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CAMP WAZIYATAH,19 VOSE LN,EAST WALPOLE,MA,02032,1426,25021,NORFOLK,1122,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,
HESS COUNTY ELDER SERVICES IN FOXBORO,90 N CARL ANNON CT,FOXBORO,MA,02035,1901,25021,NORFOLK,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
FOXBOROUGH PUBLIC SCHOOL DISTRICT,60 SOUTH ST,FOXBORO,MA,02035,2317,25021,NORFOLK,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
