NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales
BLUEGRASS CARRYOUT,HIGHLAND HEIGHTS,KY,41076,1577,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ROYALTON FOOD MART,ROYALTON,KY,41464,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DISCOUNT LIQUOR & TOBACCO,COLD SPRING,KY,41076,6800,21037,CAMPBELL,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
APPCO,SALYERSVILLE,KY,41465,9726,21153,MAGOFFIN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BLOOMINGTON GROCERY,SALYERSVILLE,KY,41465,,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,COLD SPRING,KY,41076,2202,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,COLD SPRING,KY,41076,2025,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
CRACE'S GROCERY,SALYERSVILLE,KY,41465,9496,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DOUBLE KWIK,SALYERSVILLE,KY,41465,,21153,MAGOFFIN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
DOUBLE KWIK,SALYERSVILLE,KY,41465,9726,21153,MAGOFFIN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
H & D GROCERY,SALYERSVILLE,KY,41465,9035,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
MEIJER,COLD SPRING,KY,41076,2169,21037,CAMPBELL,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
LICK CREEK GROCERY,SALYERSVILLE,KY,41465,9546,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CORN CRIB LIQUORS,SIMSBURY,CT,06070,1448,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"$2,500,001 - $5,000,000"
OAKLEY COUNTRY STORE,SALYERSVILLE,KY,41465,9485,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
POOR BOY'S PRODUCE,SALYERSVILLE,KY,41465,9435,21153,MAGOFFIN,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
REDI MART,SALYERSVILLE,KY,41465,,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
IGA,SALYERSVILLE,KY,41465,,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
UNITED DAIRY FARMERS,WILDER,KY,41076,9713,21037,CAMPBELL,1642,CONVENIENCE STORES,101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAMUEL LYONS GROCERY,SALYERSVILLE,KY,41465,8218,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,SALYERSVILLE,KY,41465,8377,21153,MAGOFFIN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000"
VALERIE'S PRODUCE,SALYERSVILLE,KY,41465,9248,21153,MAGOFFIN,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
JACK'S WATER SERVICES,PETERSBURG,KY,41080,9764,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
LUCKY SEVEN LIQUOR,SPARTA,KY,41086,8743,21187,OWEN,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SCHREIBER FOODS,UNION,KY,41091,9273,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
VICTORY LANE LIQUOR,SPARTA,KY,41086,8743,21187,OWEN,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
APELLATION MEATS,WEST LIBERTY,KY,41472,7828,21175,MORGAN,,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
APPCO 71,WEST LIBERTY,KY,41472,1139,21175,MORGAN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
B J'S KWIK STOP,WEST LIBERTY,KY,41472,7452,21175,MORGAN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BETTY RIGSBY GROCERY,WEST LIBERTY,KY,41472,9228,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
COX'S GROCERY,WEST LIBERTY,KY,41472,,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
D C DRIVE TRU,WEST LIBERTY,KY,41472,2000,21175,MORGAN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DOUBLEJ KWIK STOP,WEST LIBERTY,KY,41472,9658,21175,MORGAN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
GO-GO FOOD MART INC,WEST LIBERTY,KY,41472,2000,21175,MORGAN,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
IGA,WEST LIBERTY,KY,41472,2157,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BUD'S WATER SERVICES,UNION,KY,41091,8122,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CUSTOM WINE ONLINE LLC,UNION,KY,41091,9465,21015,BOONE,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
DAY'S WATER SERVICES,UNION,KY,41091,8137,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
JOHNSON'S COUNTRY HAM,UNION,KY,41091,9515,21015,BOONE,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
KROGER,UNION,KY,41091,7644,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,5 YEARS PLUS,"$2,500,001 - $5,000,000"
PLOWBOY GENERAL,WEST LIBERTY,KY,41472,7402,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SAVE-A-LOT,WEST LIBERTY,KY,41472,,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
ARBONNE INTERNATIONAL,VERONA,KY,41092,9222,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
VERONA MARKET,VERONA,KY,41092,9229,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
CRAIN CREEK GROCERY,WALLINGFORD,KY,41093,8683,21069,FLEMING,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
JOHN WHITT,WRIGLEY,KY,41477,9998,21175,MORGAN,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
WRIGLEY'S 7-711 INC,WRIGLEY,KY,41477,,,,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
A AFFORDABLE WATER HAULING,WALTON,KY,41094,9538,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
BENTON FARM,WALTON,KY,41094,9758,21015,BOONE,1642,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
BROOK'S MEATS INC,WALTON,KY,41094,1113,21015,BOONE,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
CHRISTIAN'S WATER SERVICES,WALTON,KY,41094,1174,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
KROGER,WALTON,KY,41094,7841,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000"
MR G'S,WALTON,KY,41094,1133,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SHELL,WALTON,KY,41094,9526,21015,BOONE,1642,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
TED'S WATER SERVICES,WALTON,KY,41094,1128,21015,BOONE,1642,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WALTON FOOD MART,WALTON,KY,41094,1129,21015,BOONE,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
BUDDY'S PRODUCE,PIKEVILLE,KY,41501,2313,21195,PIKE,,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
CHILDRENS OIL DOUBLE KWIK,PIKEVILLE,KY,41501,1526,21195,PIKE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DOUBLE QUICK,PIKEVILLE,KY,41501,7819,21195,PIKE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
DOWN TOWN LIQUORS,PIKEVILLE,KY,41501,3748,21195,PIKE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000"
KANE'S MARKET,SIMSBURY,CT,06070,1411,09003,HARTFORD,3280,MEAT MARKET,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
DEATON'S MARKET,WARSAW,KY,41095,,21077,GALLATIN,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
FOOD CITY,PIKEVILLE,KY,41501,2296,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
IGA,WARSAW,KY,41095,,21077,GALLATIN,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
HIDDEN SPRINGS LLC,PIKEVILLE,KY,41501,2247,21195,PIKE,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
HARMON BROTHERS MEATS INC,WARSAW,KY,41095,9226,21077,GALLATIN,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
INDIAN HILLS WINE & SPIRITS,PIKEVILLE,KY,41501,2296,21195,PIKE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
J & J LIQUORS CO,PIKEVILLE,KY,41501,4018,21195,PIKE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
J MART,PIKEVILLE,KY,41501,6876,21195,PIKE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
JOHN'S CREEK GROCERY,PIKEVILLE,KY,41501,4600,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
KENTUCKY CRYSTAL WATER CO,PIKEVILLE,KY,41501,3217,21195,PIKE,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,2 TO 5 YEARS,"<=$500,000"
RANCH MARKET MEXICO LINDO,WARSAW,KY,41095,,21077,GALLATIN,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MURPHY USA,PIKEVILLE,KY,41501,1426,21195,PIKE,,GAS STATIONS,501+ UNITS,5 TO 9,5 YEARS PLUS,"$1,000,001 - $2,500,000"
PIKEVILLE SKYLINE LIQUORS,PIKEVILLE,KY,41501,1625,21195,PIKE,,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,2 TO 5 YEARS,UNCODED
MOTHER NATURE SPRING WATER,PIKEVILLE,KY,41501,3217,21195,PIKE,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
EDMONDSON'S GROCERY,WILLIAMSTOWN,KY,41097,9776,21081,GRANT,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAVE-A-LOT,PIKEVILLE,KY,41501,1520,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
SAVE-A-LOT,PIKEVILLE,KY,41501,3211,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
NORTHWESTERN FOOD,SIMSBURY,CT,06070,1862,09003,HARTFORD,3280,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SUPER DOLLAR DISCOUNT,PIKEVILLE,KY,41501,1611,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
VELOCITY MARKET,PIKEVILLE,KY,41501,3512,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000"
VELOCITY MARKET,PIKEVILLE,KY,41501,3709,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
VELOCITY MARKET,PIKEVILLE,KY,41501,1516,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
WRIGHT'S PRODUCE,META,KY,41501,3525,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FOOD CITY,SOUTH WILLIAMSON,KY,41503,3915,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),101-250 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
SAVE-A-LOT,SOUTH WILLIAMSON,KY,41503,3930,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ALDI,ASHLAND,KY,41101,7260,21019,BOYD,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
ASHLAND BEVERAGE CENTER,ASHLAND,KY,41101,7443,21019,BOYD,3400,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
R J'S SPIRIT SHOP,SIMSBURY,CT,06070,1411,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
VELOCITY MARKET FIVE,BELFRY,KY,41514,8678,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,2 TO 5 YEARS,UNCODED
CARTER AVENUE BEVERAGE CENTER,ASHLAND,KY,41101,7827,21019,BOYD,3400,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
CLARK N SHOP,ASHLAND,KY,41101,2333,21019,BOYD,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
SAY CHEESE,SIMSBURY,CT,06070,1855,09003,HARTFORD,3280,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
FOODFAIR OF ASHLAND,ASHLAND,KY,41101,4838,21019,BOYD,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
SIMSBURY BOTTLE SHOP,SIMSBURY,CT,06070,2472,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
HERBAL PROMISE,ASHLAND,KY,41101,5179,21019,BOYD,3400,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,">$5,000,000"
HILLTOP MARKET,ASHLAND,KY,41101,2282,21019,BOYD,3400,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,UNCODED
JACK'S SOUTH ASHLAND MARKET,ASHLAND,KY,41101,4008,21019,BOYD,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
JEMIKA BOTTLED SPRING WATER,ASHLAND,KY,41101,7250,21019,BOYD,3400,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
KROGER,ASHLAND,KY,41101,7008,21089,GREENUP,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
KROGER,ASHLAND,KY,41101,,,,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FOODLAND,ASHLAND,KY,41101,2607,21019,BOYD,3400,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),51-100 UNITS,20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
NORTHSTAR,ASHLAND,KY,41101,7831,21019,BOYD,3400,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MOTHER NATURE SPRINGWATER,ELKHORN CITY,KY,41522,,21195,PIKE,,OTHER FOOD SPECIALIST RETAILERS,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SHEETZ MOBILE,ASHLAND,KY,41101,5149,21019,BOYD,3400,GAS STATIONS,251-500 UNITS,5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000"
RICK & DEBS GENERAL STORE,ELKHORN CITY,KY,41522,8353,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
UP THE CREEK GROCERY,ELKHORN CITY,KY,41522,7126,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
VELOCITY MARKET,ELKHORN CITY,KY,41522,,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,UNCODED
SUNRISE CONVENIENCE STORE INC,SIMSBURY,CT,06070,1406,09003,HARTFORD,3280,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
SUPER STOP & SHOP,SIMSBURY,CT,06070,2931,09003,HARTFORD,3280,CONVENIENCE STORES,251-500 UNITS,10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
MINI MART,FEDSCREEK,KY,41524,8421,21195,PIKE,,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MOUTHCARD SUPERMARKET,FEDSCREEK,KY,41524,,21195,PIKE,,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
WHITE'S CUSTOM MEATS,ASHLAND,KY,41101,2472,21019,BOYD,3400,MEAT MARKET,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
VALLEY FINE WINES & SPIRITS,SIMSBURY,CT,06070,1825,09003,HARTFORD,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MARATHON,ASHLAND,KY,41102,9507,21019,BOYD,3400,GAS STATIONS,51-100 UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
BP,ASHLAND,KY,41102,8632,21019,BOYD,3400,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
